[SIMINFO]: Generating pseudo random numbers ...
[SIMINFO]: Generating topology scenario ...
[SIMINFO]: Generating node scenario ...
[SIMINFO]: Creating topology scenario reader ...
[SIMINFO]: Creating node scenario reader ...
[SIMINFO]: Creating 5 Node Objects
[SIMINFO]: 0: 10 -INITIALIZE-;
[SIMINFO]: 0: 0-4 -UP-;
[SIMINFO]: Node id range = 0-4
[SIMINFO]: 1000: 10 -STOP_SIMULATION-;
[SIMINFO]: Initialization: 0: Position: {20, 234}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 140: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 140: 3: Position: {359, 543}, Status: MOBILE, Mobility: 2.0s, 50.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 141: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 141: 1: Position: {206, 460}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 141: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 141: 3: Position: {363, 545}, Status: MOBILE, Mobility: 1.0s, 50.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 142: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 142: 1: Position: {206, 460}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 142: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 142: 3: Position: {367, 547}, Status: MOBILE, Mobility: 0.0s, 50.74 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 143: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 143: 1: Position: {206, 460}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 143: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 143: 3: Position: {367, 547}, Status: MOBILE, Mobility: 4.0s, 171.5 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 144: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 144: 1: Position: {206, 460}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 144: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 144: 3: Position: {366, 550}, Status: MOBILE, Mobility: 3.0s, 171.5 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 145: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 145: 1: Position: {206, 460}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 145: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 145: 3: Position: {365, 553}, Status: MOBILE, Mobility: 2.0s, 171.5 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 146: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 146: 1: Position: {206, 460}, Status: MOBILE, Mobility: 9.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 146: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 146: 3: Position: {364, 556}, Status: MOBILE, Mobility: 1.0s, 171.5 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 147: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 147: 1: Position: {205, 461}, Status: MOBILE, Mobility: 8.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 147: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 147: 3: Position: {363, 559}, Status: MOBILE, Mobility: 0.0s, 171.5 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 148: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 148: 1: Position: {204, 462}, Status: MOBILE, Mobility: 7.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 148: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 148: 3: Position: {363, 559}, Status: MOBILE, Mobility: 9.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 149: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 149: 1: Position: {203, 463}, Status: MOBILE, Mobility: 6.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 149: 2: Position: {60, 256}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 149: 3: Position: {366, 563}, Status: MOBILE, Mobility: 8.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 150: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 150: 1: Position: {202, 464}, Status: MOBILE, Mobility: 5.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 150: 2: Position: {60, 256}, Status: MOBILE, Mobility: 2.0s, 105.58 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 150: 3: Position: {369, 567}, Status: MOBILE, Mobility: 7.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 151: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 151: 1: Position: {201, 465}, Status: MOBILE, Mobility: 4.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 151: 2: Position: {61, 253}, Status: MOBILE, Mobility: 1.0s, 105.58 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 151: 3: Position: {372, 571}, Status: MOBILE, Mobility: 6.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 152: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 152: 1: Position: {200, 466}, Status: MOBILE, Mobility: 3.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 152: 2: Position: {62, 250}, Status: MOBILE, Mobility: 0.0s, 105.58 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 152: 3: Position: {375, 575}, Status: MOBILE, Mobility: 5.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 153: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 153: 1: Position: {199, 467}, Status: MOBILE, Mobility: 2.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 153: 2: Position: {62, 250}, Status: MOBILE, Mobility: 9.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 153: 3: Position: {378, 579}, Status: MOBILE, Mobility: 4.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 154: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 154: 1: Position: {198, 468}, Status: MOBILE, Mobility: 1.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 154: 2: Position: {63, 253}, Status: MOBILE, Mobility: 8.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 154: 3: Position: {381, 583}, Status: MOBILE, Mobility: 3.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 155: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 10.0s
[SIMINFO]: 155: 1: Position: {197, 469}, Status: MOBILE, Mobility: 0.0s, 153.21 degrees, 1m/s Pause: 0.0s
[SIMINFO]: 155: 2: Position: {64, 256}, Status: MOBILE, Mobility: 7.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 155: 3: Position: {384, 587}, Status: MOBILE, Mobility: 2.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 156: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 156: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 156: 2: Position: {65, 259}, Status: MOBILE, Mobility: 6.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 156: 3: Position: {387, 591}, Status: MOBILE, Mobility: 1.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 157: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 157: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 157: 2: Position: {66, 262}, Status: MOBILE, Mobility: 5.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 157: 3: Position: {390, 595}, Status: MOBILE, Mobility: 0.0s, 359.01 degrees, 5m/s Pause: 0.0s
[SIMINFO]: 158: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 158: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 158: 2: Position: {67, 265}, Status: MOBILE, Mobility: 4.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 158: 3: Position: {390, 595}, Status: MOBILE, Mobility: 3.0s, 128.87 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 159: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 159: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 159: 2: Position: {68, 268}, Status: MOBILE, Mobility: 3.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 159: 3: Position: {388, 595}, Status: MOBILE, Mobility: 2.0s, 128.87 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 160: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 160: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 160: 2: Position: {69, 271}, Status: MOBILE, Mobility: 2.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 160: 3: Position: {386, 595}, Status: MOBILE, Mobility: 1.0s, 128.87 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 161: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 161: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 161: 2: Position: {70, 274}, Status: MOBILE, Mobility: 1.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 161: 3: Position: {384, 595}, Status: MOBILE, Mobility: 0.0s, 128.87 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 162: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 162: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 162: 2: Position: {71, 277}, Status: MOBILE, Mobility: 0.0s, 64.16 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 162: 3: Position: {384, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 163: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 163: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 163: 2: Position: {71, 277}, Status: MOBILE, Mobility: 2.0s, 46.1 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 163: 3: Position: {384, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 164: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 164: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 164: 2: Position: {69, 280}, Status: MOBILE, Mobility: 1.0s, 46.1 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 164: 3: Position: {384, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 165: 0: Position: {6, 303}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 165: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 10.0s
[SIMINFO]: 165: 2: Position: {67, 283}, Status: MOBILE, Mobility: 0.0s, 46.1 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 165: 3: Position: {384, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 166: 0: Position: {6, 303}, Status: MOBILE, Mobility: 2.0s, 102.19 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 166: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 166: 2: Position: {67, 283}, Status: MOBILE, Mobility: 1.0s, 169.74 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 166: 3: Position: {384, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 167: 0: Position: {6, 307}, Status: MOBILE, Mobility: 1.0s, 102.19 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 167: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 167: 2: Position: {71, 283}, Status: MOBILE, Mobility: 0.0s, 169.74 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 167: 3: Position: {384, 595}, Status: MOBILE, Mobility: 2.0s, 166.65 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 168: 0: Position: {6, 311}, Status: MOBILE, Mobility: 0.0s, 102.19 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 168: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 168: 2: Position: {71, 283}, Status: MOBILE, Mobility: 2.0s, 122.56 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 168: 3: Position: {382, 595}, Status: MOBILE, Mobility: 1.0s, 166.65 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 169: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 169: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 169: 2: Position: {67, 283}, Status: MOBILE, Mobility: 1.0s, 122.56 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 169: 3: Position: {380, 595}, Status: MOBILE, Mobility: 0.0s, 166.65 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 170: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 170: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 170: 2: Position: {63, 283}, Status: MOBILE, Mobility: 0.0s, 122.56 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 170: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 171: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 171: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 171: 2: Position: {63, 283}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 171: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 172: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 172: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 172: 2: Position: {63, 283}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 172: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 173: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 173: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 173: 2: Position: {63, 283}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 173: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 174: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 174: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 174: 2: Position: {63, 283}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 174: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 175: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 175: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 175: 2: Position: {63, 283}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 175: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 176: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 176: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 10.0s
[SIMINFO]: 176: 2: Position: {63, 283}, Status: MOBILE, Mobility: 5.0s, 359.25 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 176: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 177: 0: Position: {6, 311}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 177: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 9.0s
[SIMINFO]: 177: 2: Position: {64, 286}, Status: MOBILE, Mobility: 4.0s, 359.25 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 177: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 178: 0: Position: {6, 311}, Status: MOBILE, Mobility: 4.0s, 8.1 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 178: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 8.0s
[SIMINFO]: 178: 2: Position: {65, 289}, Status: MOBILE, Mobility: 3.0s, 359.25 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 178: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 179: 0: Position: {5, 314}, Status: MOBILE, Mobility: 3.0s, 8.1 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 179: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 179: 2: Position: {66, 292}, Status: MOBILE, Mobility: 2.0s, 359.25 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 179: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 180: 0: Position: {4, 317}, Status: MOBILE, Mobility: 2.0s, 8.1 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 180: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 180: 2: Position: {67, 295}, Status: MOBILE, Mobility: 1.0s, 359.25 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 180: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 181: 0: Position: {3, 320}, Status: MOBILE, Mobility: 1.0s, 8.1 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 181: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 181: 2: Position: {68, 298}, Status: MOBILE, Mobility: 0.0s, 359.25 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 181: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 182: 0: Position: {2, 323}, Status: MOBILE, Mobility: 0.0s, 8.1 degrees, 3m/s Pause: 0.0s
[SIMINFO]: 182: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 182: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 182: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 183: 0: Position: {2, 323}, Status: MOBILE, Mobility: 7.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 183: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 183: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 183: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 3.0s
[SIMINFO]: 184: 0: Position: {4, 320}, Status: MOBILE, Mobility: 6.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 184: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 184: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 184: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 2.0s
[SIMINFO]: 185: 0: Position: {6, 317}, Status: MOBILE, Mobility: 5.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 185: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 185: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 185: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 1.0s
[SIMINFO]: 186: 0: Position: {8, 314}, Status: MOBILE, Mobility: 4.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 186: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 186: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 186: 3: Position: {380, 595}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 0.0s
[SIMINFO]: 187: 0: Position: {10, 311}, Status: MOBILE, Mobility: 3.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 187: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 7.0s
[SIMINFO]: 187: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
[SIMINFO]: 187: 3: Position: {380, 595}, Status: MOBILE, Mobility: 9.0s, 317.27 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 188: 0: Position: {12, 308}, Status: MOBILE, Mobility: 2.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 188: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 6.0s
[SIMINFO]: 188: 2: Position: {68, 298}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 4.0s
[SIMINFO]: 188: 3: Position: {378, 595}, Status: MOBILE, Mobility: 8.0s, 317.27 degrees, 2m/s Pause: 0.0s
[SIMINFO]: 189: 0: Position: {14, 305}, Status: MOBILE, Mobility: 1.0s, 357.08 degrees, 4m/s Pause: 0.0s
[SIMINFO]: 189: 1: Position: {197, 469}, Status: STATIONARY, Mobility: 0.0s, 0.0 degrees, 0m/s Pause: 5.0s
